2014-10-23 14-15-41
Time,X,Y,Flag,Gif,Error,LineFlag
9517,536,570,1,2,0,True
9533,549,561,1,2,0,True
9550,552,559,1,2,0,True
9567,555,556,1,2,0,True
9583,568,545,1,2,0,True
9600,576,537,1,2,0,True
9617,579,534,1,2,0,True
9633,584,527,1,2,0,True
9650,594,514,1,2,0,True
9667,602,503,1,2,0,True
9683,607,496,1,2,0,True
9700,609,492,1,2,0,True
9717,618,478,1,2,0,True
9733,619,476,1,2,0,True
9750,622,472,1,2,0,True
9767,622,472,1,2,0,True
9783,622,472,1,2,0,True
9800,622,472,1,2,0,True
9817,622,471,1,2,0,True
9833,622,471,1,2,0,True
9850,622,471,1,2,0,True
9867,622,471,1,2,0,True
9883,622,471,1,2,0,True
9900,622,471,1,2,0,True
9917,622,471,1,2,0,True
9933,622,471,1,2,0,True
9950,622,471,1,2,0,True
9967,622,471,1,2,0,True
9983,622,471,1,2,0,True
10000,622,471,1,2,0,True
10067,622,471,1,3,0,True
10083,622,471,1,3,0,True
10100,622,471,1,3,0,True
10117,622,471,1,3,0,True
10133,622,471,0,3,0,True
10150,622,471,0,3,0,True
10167,622,471,0,3,0,True
10183,622,471,0,3,0,True
10200,622,471,0,3,0,True
10217,622,471,0,3,0,True
10233,622,471,0,3,0,True
10250,622,471,0,3,0,True
10267,622,471,0,3,0,True
10283,622,471,0,3,0,True
10300,622,471,0,3,0,True
10317,622,471,0,3,0,True
10333,622,471,0,3,0,True
10350,622,471,0,3,0,True
10367,622,471,0,3,0,True
10383,622,471,0,3,0,True
10400,622,471,0,3,0,True
10417,622,471,0,3,0,True
10433,622,471,0,3,0,True
10450,622,471,0,3,0,True
10467,622,471,0,3,0,True
10483,622,471,0,3,0,True
10500,622,471,0,3,0,True
10517,622,471,0,3,0,True
10533,622,471,0,3,0,True
10550,622,471,0,3,0,True
10567,622,471,0,3,0,True
10583,622,471,0,3,0,True
10600,622,471,0,3,0,True
10617,622,471,0,3,0,True
10633,622,471,0,3,0,True
10650,622,471,0,3,0,True
10667,622,471,0,3,0,True
10683,622,471,0,3,0,True
10700,622,471,0,3,0,True
10717,622,471,0,3,0,True
10733,622,471,0,3,0,True
10750,622,471,0,3,0,True
10767,622,471,0,3,0,True
10783,622,471,0,3,0,True
10800,622,471,0,3,0,True
10817,622,471,0,3,0,True
10833,622,471,0,3,0,True
10850,622,471,0,3,0,True
10867,622,471,0,3,0,True
10883,622,471,0,3,0,True
10900,92,466,1,3,0,True
10917,92,466,1,3,0,True
10933,92,466,1,3,0,True
10950,92,466,1,3,0,True
10967,92,466,1,3,0,True
10983,94,466,1,3,0,True
11000,94,466,1,3,0,True
11017,96,466,1,3,0,True
11033,102,465,1,3,0,True
11050,104,465,1,3,0,True
11067,110,465,1,3,0,True
11083,117,464,1,3,0,True
11100,122,463,1,3,0,True
11117,127,462,1,3,0,True
11133,138,460,1,3,0,True
11150,141,460,1,3,0,True
11167,150,458,1,3,0,True
11183,164,455,1,3,0,True
11200,171,453,1,3,0,True
11217,174,453,1,3,0,True
11233,185,450,1,3,0,True
11250,200,446,1,3,0,True
11267,208,445,1,3,0,True
11283,219,442,1,3,0,True
11300,231,440,1,3,0,True
11317,235,439,1,3,0,True
11333,248,436,1,3,0,True
11350,257,435,1,3,0,True
11367,273,431,1,3,0,True
11383,288,429,1,3,0,True
11400,292,428,1,3,0,True
11417,302,426,1,3,0,True
11433,321,422,1,3,0,True
11450,336,419,1,3,0,True
11467,341,419,1,3,0,True
11483,365,414,1,3,0,True
11500,370,413,1,3,0,True
11517,381,411,1,3,0,True
11533,391,409,1,3,0,True
11550,417,405,1,3,0,True
11567,422,404,1,3,0,True
11583,432,402,1,3,0,True
11600,454,400,1,3,0,True
11617,470,398,1,3,0,True
11633,481,396,1,3,0,True
11650,487,396,1,3,0,True
11667,509,393,1,3,0,True
11683,515,392,1,3,0,True
11700,537,390,1,3,0,True
11717,542,389,1,3,0,True
11733,570,386,1,3,0,True
11750,576,385,1,3,0,True
11767,592,383,1,3,0,True
11783,614,381,1,3,0,True
11800,625,379,1,3,0,True
11817,631,378,1,3,0,True
11833,648,376,1,3,0,True
11850,676,374,1,3,0,True
11867,681,374,1,3,0,True
11883,692,373,1,3,0,True
11900,703,372,1,3,0,True
11917,730,371,1,3,0,True
11933,736,370,1,3,0,True
11950,746,370,1,3,0,True
11967,761,369,1,3,0,True
11983,781,369,1,3,0,True
12000,786,369,1,3,0,True
12017,796,368,1,3,0,True
12033,815,367,1,3,0,True
12050,824,366,1,3,0,True
12067,837,365,1,3,0,True
12083,841,365,1,3,0,True
12100,846,364,1,3,0,True
12117,846,364,1,3,0,True
12133,846,364,1,3,0,True
12150,846,364,1,3,0,True
12167,846,364,1,3,0,True
12183,846,364,1,3,0,True
12200,846,364,1,3,0,True
12217,846,364,1,3,0,True
12233,846,364,1,3,0,True
12250,846,364,1,3,0,True
12267,846,364,1,3,0,True
12283,846,364,1,3,0,True
12300,846,364,1,3,0,True
12317,846,364,1,3,0,True
12333,846,364,1,3,0,True
12350,846,364,1,3,0,True
12367,846,364,1,3,0,True
12383,846,364,1,3,0,True
12400,846,364,1,3,0,True
12417,846,364,1,3,0,True
12433,846,364,1,3,0,True
12450,846,364,1,3,0,True
12467,846,364,1,3,0,True
12483,846,364,1,3,0,True
12500,846,364,1,3,0,True
12517,846,364,1,3,0,True
12533,846,364,1,3,0,True
12550,846,364,1,3,0,True
12567,846,364,1,3,0,True
12583,863,363,1,3,0,True
12600,863,363,1,3,0,True
12617,876,362,1,3,0,True
12633,876,362,0,3,0,True
12650,876,362,0,3,0,True
12667,876,362,0,3,0,True
12683,876,362,0,3,0,True
12700,876,362,0,3,0,True
12717,876,362,0,3,0,True
12733,876,362,0,3,0,True
12750,876,362,0,3,0,True
12767,876,362,0,3,0,True
12783,876,362,0,3,0,True
12800,876,362,0,3,0,True
12817,876,362,0,3,0,True
12833,876,362,0,3,0,True
12850,876,362,0,3,0,True
12867,876,362,0,3,0,True
12883,876,362,0,3,0,True
12900,876,362,0,3,0,True
12917,876,362,0,3,0,True
12933,876,362,0,3,0,True
12950,876,362,0,3,0,True
12967,876,362,0,3,0,True
12983,876,362,0,3,0,True
13000,876,362,0,3,0,True
13067,876,362,0,4,0,True
13083,876,362,0,4,0,True
13100,876,362,0,4,0,True
13117,876,362,0,4,0,True
13133,876,362,0,4,0,True
13150,876,362,0,4,0,True
13167,876,362,0,4,0,True
13183,876,362,0,4,0,True
13200,876,362,0,4,0,True
13217,876,362,0,4,0,True
13233,876,362,0,4,0,True
13250,876,362,0,4,0,True
13267,876,362,0,4,0,True
13283,876,362,0,4,0,True
13300,876,362,0,4,0,True
13317,876,362,0,4,0,True
13333,876,362,0,4,0,True
13350,876,362,0,4,0,True
13367,876,362,0,4,0,True
13383,876,362,0,4,0,True
13400,876,362,0,4,0,True
13417,876,362,0,4,0,True
13433,876,362,0,4,0,True
13450,876,362,0,4,0,True
13467,876,362,0,4,0,True
13483,876,362,0,4,0,True
13500,876,362,0,4,0,True
13517,876,362,0,4,0,True
13533,876,362,0,4,0,True
13550,876,362,0,4,0,True
13567,876,362,0,4,0,True
13583,876,362,0,4,0,True
13600,876,362,0,4,0,True
13617,876,362,0,4,0,True
13633,876,362,0,4,0,True
13650,876,362,0,4,0,True
13667,876,362,0,4,0,True
13683,876,362,0,4,0,True
13700,876,362,0,4,0,True
13717,876,362,0,4,0,True
13733,876,362,0,4,0,True
13750,876,362,0,4,0,True
13767,876,362,0,4,0,True
13783,876,362,0,4,0,True
13800,876,362,0,4,0,True
13817,96,354,1,4,0,True
13833,96,354,1,4,0,True
13850,96,354,1,4,0,True
13867,99,352,1,4,0,True
13883,100,350,1,4,0,True
13900,102,348,1,4,0,True
13917,105,344,1,4,0,True
13933,109,340,1,4,0,True
13950,114,336,1,4,0,True
13967,120,330,1,4,0,True
13983,123,328,1,4,0,True
14000,126,326,1,4,0,True
14017,137,317,1,4,0,True
14033,137,317,1,4,0,True
14050,150,308,1,4,0,True
14067,157,303,1,4,0,True
14083,164,298,1,4,0,True
14100,179,288,1,4,0,True
14117,182,286,1,4,0,True
14133,189,282,1,4,0,True
14150,198,277,1,4,0,True
14167,204,275,1,4,0,True
14183,213,272,1,4,0,True
14200,219,270,1,4,0,True
14217,233,268,1,4,0,True
14233,239,267,1,4,0,True
14250,248,266,1,4,0,True
14267,251,266,1,4,0,True
14283,264,267,1,4,0,True
14300,270,268,1,4,0,True
14317,279,270,1,4,0,True
14333,281,271,1,4,0,True
14350,294,277,1,4,0,True
14367,296,278,1,4,0,True
14383,303,282,1,4,0,True
14400,310,288,1,4,0,True
14417,315,294,1,4,0,True
14433,318,297,1,4,0,True
14450,325,304,1,4,0,True
14467,331,311,1,4,0,True
14483,338,320,1,4,0,True
14500,343,326,1,4,0,True
14517,352,339,1,4,0,True
14533,354,343,1,4,0,True
14550,361,353,1,4,0,True
14567,365,360,1,4,0,True
14583,373,375,1,4,0,True
14600,377,383,1,4,0,True
14617,381,391,1,4,0,True
14633,387,404,1,4,0,True
14650,393,416,1,4,0,True
14667,397,425,1,4,0,True
14683,400,433,1,4,0,True
14700,409,450,1,4,0,True
14717,413,458,1,4,0,True
14733,417,465,1,4,0,True
14750,425,480,1,4,0,True
14767,430,487,1,4,0,True
14783,434,493,1,4,0,True
14800,438,500,1,4,0,True
14817,446,512,1,4,0,True
14833,450,517,1,4,0,True
14850,457,524,1,4,0,True
14867,459,527,1,4,0,True
14883,467,536,1,4,0,True
14900,472,540,1,4,0,True
14917,479,546,1,4,0,True
14933,485,551,1,4,0,True
14950,492,556,1,4,0,True
14967,495,557,1,4,0,True
14983,502,561,1,4,0,True
15000,510,564,1,4,0,True
15017,518,566,1,4,0,True
15033,521,567,1,4,0,True
15050,534,570,1,4,0,True
15067,537,570,1,4,0,True
15083,546,572,1,4,0,True
15100,548,572,1,4,0,True
15117,563,573,1,4,0,True
15133,566,573,1,4,0,True
15150,575,573,1,4,0,True
15167,581,572,1,4,0,True
15183,594,570,1,4,0,True
15200,597,570,1,4,0,True
15217,603,568,1,4,0,True
15233,616,564,1,4,0,True
15250,625,559,1,4,0,True
15267,632,556,1,4,0,True
15283,634,555,1,4,0,True
15300,649,545,1,4,0,True
15317,653,544,1,4,0,True
15333,662,537,1,4,0,True
15350,673,528,1,4,0,True
15367,679,525,1,4,0,True
15383,681,523,1,4,0,True
15400,687,519,1,4,0,True
15417,693,515,1,4,0,True
15433,695,514,1,4,0,True
15450,695,514,1,4,0,True
15467,695,514,1,4,0,True
15483,695,514,1,4,0,True
15500,696,513,1,4,0,True
15517,696,513,1,4,0,True
15533,696,513,1,4,0,True
15550,696,513,1,4,0,True
15567,696,513,1,4,0,True
15583,696,513,1,4,0,True
15600,696,513,1,4,0,True
